category,milestone
Balbuceo,"Hace sonidos guturales como ""ga"", ""gu"", ""gr"""
Balbuceo,"Dice sílabas repetidas (consonante y vocal, por ejemplo ""baba, dada…"")"
Balbuceo,Vocaliza al escuchar una voz
Balbuceo,"Emite sonidos de consonantes (por ejemplo, ""m"")"
Balbuceo,"Emite sonidos de vocales (por ejemplo, ""eh"" o ""ah"")"
Balbuceo,Varía el tono de sus balbuceos
Balbuceo,Repite una sílaba que ha dicho alguien más
Balbuceo,Interactúa con otros niños balbuceando
Balbuceo,Balbucea como si imitara conversaciones
Balbuceo,Pide ayuda por medio de balbuceos
Apego y afecto,Le sonríe a la gente
Apego y afecto,Se tranquiliza cuando escucha voces que le son familiares
Apego y afecto,Reconoce a sus padres
Apego y afecto,Reacciona con gusto a las muestras de afecto
Apego y afecto,Demuestra satisfacción cuando come o cuando recibe caricias
Apego y afecto,Estira sus brazos para que lo carguen
Apego y afecto,Responde de manera distinta ante un familiar y ante un extraño
Apego y afecto,Interactúa con personas que le son familiares
Apego y afecto,Es juguetón con otras personas
Apego y afecto,Prefiere estar con ciertas personas
Apego y afecto,Es ansioso o tímido cuando está con extraños
Apego y afecto,Busca a personas conocidas cuando alguien las nombra
Apego y afecto,Muestra afecto a personas que conoce bien
Apego y afecto,"Asocia objetos con el miembro de la familia que los usa (por ejemplo, la bolsa de mamá)"
Aprendiendo sobre formas y colores,Señala un círculo
Aprendiendo sobre formas y colores,Señala un triángulo
Aprendiendo sobre formas y colores,Señala un cuadrado
Aprendiendo sobre formas y colores,Señala algo verde cuando se lo pides
Aprendiendo sobre formas y colores,Señala algo azul cuando se lo pides
Aprendiendo sobre formas y colores,Señala algo rojo cuando se lo pides
Aprendiendo sobre formas y colores,Señala algo amarillo cuando se lo pides
Aprendiendo sobre formas y colores,"Nombra formas básicas (círculo, triángulo o cuadrado)"
Aprendiendo sobre formas y colores,Identifica objetos con un color específico
Aprendiendo sobre formas y colores,"Puede separar objetos por tamaño (por ejemplo, encuentra todos los bloques pequeños)"
Aprendiendo sobre formas y colores,"Puede separar objetos por forma (por ejemplo, encuentra todos los bloques triangulares)"
Aprendiendo sobre formas y colores,"Puede separar objetos por color (por ejemplo, encuentra todos los bloques rojos)"
Autoconocimiento e independencia,Se queja cuando interrumpen sus actividades
Autoconocimiento e independencia,Extiende el brazo o la pierna para ayudar cuando lo estás vistiendo
Autoconocimiento e independencia,Muestra interés cuando ve su reflejo en el espejo
Autoconocimiento e independencia,"Usa dos o tres objetos cotidianos de manera correcta (por ejemplo, tomar de un vaso o marcar por teléfono)"
Autoconocimiento e independencia,"Responde a su nombre volteando, gateando o caminando hacia ti"
Autoconocimiento e independencia,Se reconoce a sí mismo en un espejo
Autoconocimiento e independencia,"Participa en actividades diarias cotidianas (ejemplo, guardar los juguetes después de jugar)"
Autoconocimiento e independencia,Puede comer con cuchara por sí mismo
Autoconocimiento e independencia,"Ayuda a desvestirse (por ejemplo, se quita los pantalones)"
Autoconocimiento e independencia,Puede explorar por sí mismo cuando hay un adulto de confianza cerca
Autoconocimiento e independencia,Identifica quienes son el niño y la niña en una imagen
Autoconocimiento e independencia,Elige la ropa adecuada para dormir
Autoconocimiento e independencia,"Sabe cómo utilizar productos de higiene personal (ej., cepillo de dientes)"
Autoconocimiento e independencia,Prefiere ciertas comidas
Caminar,Camina mientras alguien lo toma de ambas manos
Caminar,"Mientras camina, se detiene y agacha para recoger un objeto"
Caminar,Camina apoyándose en muebles
Caminar,Puede dar algunos pasos sin ayuda
Caminar,Toma pasos hacia delante con poca ayuda
Caminar,Camina con las piernas muy separadas y avanza meciéndose de lado a lado (como pingüino)
Caminar,Carga un objeto mientras camina
Caminar,"Sube escalones con ayuda de un adulto, alternando los pies"
Caminar,Camina solo
Caminar,Se mantiene balanceado cuando camina
Caminar,Lanza objetos y va por ellos
Caminar,Baja las escaleras alternando los pies con la ayuda de un adulto
Caminar,Sube rampas caminando
Comunicación a través de gestos,Expresa agrado o desagrado con gestos faciales
Comunicación a través de gestos,Agita los brazos cuando algo le llama la atención
Comunicación a través de gestos,Apunta al objeto que quiere
Comunicación a través de gestos,"Hace gestos simples (por ejemplo, agita la mano para decir adiós)"
Comunicación a través de gestos,Pide ayuda por medio de gestos
Comprensión del lenguaje,Voltea a ver a objetos o personas familiares cuando le son nombrados
Comprensión del lenguaje,"Sabe lo que significa ""sí"" y ""no"""
Comprensión del lenguaje,Se sabe el nombre de al menos tres objetos
Comprensión del lenguaje,"Entiende frases compuestas por tres palabras - por ejemplo, ""Mira, el perro"""
Comprensión del lenguaje,Te da un objeto cuando se lo pides
Comprensión del lenguaje,Señala objetos familiares cuando se los nombras
Comprensión del lenguaje,Escucha con atención cuando le hablan
Comprensión del lenguaje,"Puede señalar quiénes son ""papá"" y ""mamá"""
Comprensión del lenguaje,"Apunta a la imagen de un animal cuando haces su sonido (por ejemplo, apunta a un perro si dices ""guau"")"
Comprensión del lenguaje,Responde con sonidos o gestos cuando le preguntan si quiere comer
Comprensión del lenguaje,Puede señalar una o dos partes del cuerpo cuando se lo piden
Comprensión del lenguaje,"Entiende preguntas simples (por ejemplo, ""¿Quieres comer?"")"
Comprensión del lenguaje,Entiende aproximadamente 100 a 300 palabras
Control de la cabeza,Mantiene levantada la cabeza estando acostado boca abajo
Control de la cabeza,Sostiene la cabeza con ayuda cuando lo levantan y mueven
Control de la cabeza,Puede girar la cabeza hacia la izquierda y hacia la derecha al estar acostado boca arriba
Control de la cabeza,Puede levantar la cabeza por tres segundos cuando está boca abajo
Control de la cabeza,Puede voltear cabeza a ambos lados cuando está erguido
Control de la cabeza,Sostiene su cabeza completamente
Control de la cabeza,"Levanta la cabeza y el pecho estando boca abajo, recargándose en los antebrazos y codos"
Coordinación de manos ,Logra arrugar o romper papel con la ayuda de alguien
Coordinación de manos ,"Jala un objeto hacia él/ella (ej., un juguete con una cuerda)"
Coordinación de manos ,Sostiene dos objetos en una sola mano
Coordinación de manos ,"Usa ambas manos simultáneamente para manipular objetos (por ejemplo, al abrir una caja)"
Coordinación de manos ,"Inicia y detiene el movimiento de un juguete (por ejemplo, una pelota)"
Coordinación de manos ,Usa las manijas de las puertas y cajones para abrir y cerrarlos
Coordinación de manos ,Utiliza objetos como herramientas para jalar o empujar otros objetos
Coordinación de manos ,Gira las tapas de las botellas para quitarlas y ponerlas
Coordinación de manos ,Voluntariamente suelta objetos que está sosteniendo
Coordinación de manos ,Construye torres de dos o más bloques
Coordinación de manos ,Arruga papel usando ambas manos
Coordinación de manos ,"Mueve juguetes con ruedas (carros, trenes, etc.)"
Coordinación de manos ,Mueve objetos pequeños de un recipiente a otro usando sus manos
Coordinación de manos ,Construye torres con cuatro o más bloques
Coordinación de manos ,Aplana plastilina entre sus manos
Coordinación de manos ,Destruye torres de bloques
Coordinación de manos ,Ya no deja caer objetos por accidente
Coordinación de manos ,"Forma pequeñas bolas de papel o plastilina, rodándolas entre sus manos"
Coordinación de manos ,Pega diferentes materiales en una hoja de papel
Coordinación de manos ,Rompe papel usando ambas manos
Coordinación de manos ,Construye torres de cinco o seis bloques
Coordinación de manos ,Forma figuras de plastilina
Coordinación de manos ,Intenta hacer tiras de plastilina rodándolas entre las manos o sobre la mesa
Coordinación física,Puede patear una pelota al caminar si se le sostiene de las manos
Coordinación física,Alterna los pies para poder caminar sobre superficies angostas
Coordinación física,Empuja o jala juguetes al caminar
Coordinación física,"Detiene una pelota que rueda, usando sus manos o cuerpo"
Coordinación física,Intenta rebotar una pelota
Coordinación física,Lanza una pelota por encima de su cabeza
Coordinación física,Patea un balón o una pelota
Coordinación física,Intenta atrapar una pelota extendiendo ambos brazos frente a su cuerpo
Desarrollo de los sentidos,Reacciona al tacto
Desarrollo de los sentidos,Voltea si le tocas la mejilla
Desarrollo de los sentidos,Reacciona a los olores
Desarrollo de los sentidos,Alterna la mirada entre dos objetos
Desarrollo de los sentidos,Se sobresalta ante sonidos fuertes
Desarrollo de los sentidos,Prefiere texturas suaves a las ásperas
Desarrollo de los sentidos,Voltea hacia la fuente de algún sonido
Desarrollo de los sentidos,Puede fijar la mirada en objetos que están a 45 cm de distancia
Desarrollo de los sentidos,Voltea la cabeza hacia quien le está hablando
Desarrollo de los sentidos,"Tiene distinta reacción a diferentes texturas (suave, duro, áspero)"
Desarrollo de los sentidos,Tiene reacción distinta a los objetos calientes y a los fríos
Destreza de dedos,Toma objetos pequeños con la mano (del tamaño de un cubo de hielo)
Destreza de dedos,Recoge objetos con facilidad sin usar el pulgar
Destreza de dedos,"Toma objetos pequeños usando su dedo índice y pulgar (por ejemplo, una galleta)"
Destreza de dedos,Toma objetos usando todos los dedos
Destreza de dedos,Hojea los libros (aunque no sea hoja por hoja)
